title	Type	Label	Cost Normal	Cost Hyper	Cost Another	SP DJ Points	DP DJ Points	SPB Unlocked	SPB Rating	SPB Lamp	SPB Letter	SPB EX Score	SPB Miss Count	SPB Note Count	SPB DJ Points	SPN Unlocked	SPN Rating	SPN Lamp	SPN Letter	SPN EX Score	SPN Miss Count	SPN Note Count	SPN DJ Points	SPH Unlocked	SPH Rating	SPH Lamp	SPH Letter	SPH EX Score	SPH Miss Count	SPH Note Count	SPH DJ Points	SPA Unlocked	SPA Rating	SPA Lamp	SPA Letter	SPA EX Score	SPA Miss Count	SPA Note Count	SPA DJ Points	SPL Unlocked	SPL Rating	SPL Lamp	SPL Letter	SPL EX Score	SPL Miss Count	SPL Note Count	SPL DJ Points	DPN Unlocked	DPN Rating	DPN Lamp	DPN Letter	DPN EX Score	DPN Miss Count	DPN Note Count	DPN DJ Points	DPH Unlocked	DPH Rating	DPH Lamp	DPH Letter	DPH EX Score	DPH Miss Count	DPH Note Count	DPH DJ Points	DPA Unlocked	DPA Rating	DPA Lamp	DPA Letter	DPA EX Score	DPA Miss Count	DPA Note Count	DPA DJ Points	DPL Unlocked	DPL Rating	DPL Lamp	DPL Letter	DPL EX Score	DPL Miss Count	DPL Note Count	DPL DJ Points
DoLL	Base	Base	0	0	0	24.135	25.897									FALSE	5	NP	F	0	-	478		FALSE	6	NP	F	0	-	626		TRUE	7	FC	AAA	1609	0	810	2.41350000E+001									FALSE	6	NP	F	0	-	478		FALSE	7	NP	F	0	-	645		TRUE	9	EX	AAA	1786	3	923	2.58970000E+001									
One More Lovely	Bits	Bits	4500	9500	12000	34.818	27.002									FALSE	5	NP	F	0	-	439		FALSE	9	NP	F	0	-	832		TRUE	12	EX	AA	2487	6	1452	3.48180000E+001									FALSE	4	NP	F	0	-	444		FALSE	10	NP	F	0	-	862		TRUE	12	EC	A	2348	81	1557	2.70020000E+001									
GHOST REVIVAL	Base	Base	0	0	0	35.64	25.922									FALSE	5	NP	F	0	-	466		FALSE	9	NP	F	0	-	1049		TRUE	10	FC	AAA	2376	1	1311	3.56400000E+001									FALSE	4	NP	F	0	-	466		FALSE	9	NP	F	0	-	1049		TRUE	12	HC	A	1994	48	1409	2.59220000E+001									
GRADIUS -FULL SPEED-	Bits	Bits	3500	7500	10500	27.1875	23.1525									FALSE	4	NP	F	0	-	385		FALSE	8	NP	F	0	-	643		TRUE	10	FC	AA	1875	3	1074	2.71875000E+001									FALSE	3	NP	F	0	-	385		FALSE	7	NP	F	0	-	643		TRUE	11	HC	AA	1715	21	1074	2.31525000E+001									
A-JAX (3-WAY MIX)	Bits	Bits	4000	8000	10000	29.67	27.7095									FALSE	4	NP	F	0	-	428		FALSE	8	NP	F	0	-	680		TRUE	10	FC	AAA	1978	2	1066	2.96700000E+001									FALSE	4	NP	F	0	-	428		FALSE	8	NP	F	0	-	680		TRUE	10	EX	AAA	1911	12	1066	2.77095000E+001									
BLOCKS	Base	Base	0	0	0	26.477	22.9095									FALSE	5	NP	F	0	-	417		FALSE	7	FC	AAA	1259	0	675		TRUE	11	EX	AAA	1826	7	1000	2.64770000E+001									FALSE	4	NP	F	0	-	417		FALSE	7	NP	F	0	-	746		TRUE	12	HC	AA	1697	35	1001	2.29095000E+001									
BREATH	Bits	Bits	5500	7500	10000	24.99	22.022									FALSE	6	NP	F	0	-	469		FALSE	7	NP	F	0	-	663		TRUE	10	FC	AAA	1666	0	875	2.49900000E+001									FALSE	5	NP	F	0	-	455		FALSE	8	NP	F	0	-	700		TRUE	10	EX	AA	1573	11	930	2.20220000E+001									
TEXTURE	Bits	Bits	3000	4500	6500	16.59	15.4715									FALSE	3	NP	F	0	-	292		FALSE	5	NP	F	0	-	494		TRUE	6	FC	AAA	1106	0	594	1.65900000E+001									FALSE	3	NP	F	0	-	294		FALSE	4	NP	F	0	-	430		TRUE	7	EX	AAA	1067	3	593	1.54715000E+001									
Don't be afraid myself	Bits	Bits	5500	9000	10000	32.31	28.8115									FALSE	5	NP	F	0	-	566		FALSE	9	NP	F	0	-	960		TRUE	10	FC	AAA	2154	2	1155	3.23100000E+001									FALSE	6	NP	F	0	-	621		FALSE	9	NP	F	0	-	935		TRUE	10	EX	AAA	1987	6	1094	2.88115000E+001									
太陽～T・A・I・Y・O～	Bits	Bits	4000	8000	4500	24.51	19.43									FALSE	4	NP	F	0	-	419		FALSE	8	NP	F	0	-	725		TRUE	9	FC	AAA	1634	0	880	2.45100000E+001									FALSE	4	NP	F	0	-	419		FALSE	8	EX	AAA	1340	6	725	1.94300000E+001																	
KEY	Bits	Bits	5500	8000	11000	40.635	36.372									FALSE	6	NP	F	0	-	573		FALSE	8	NP	F	0	-	950		TRUE	11	FC	AAA	2709	2	1436	4.06350000E+001									FALSE	5	NP	F	0	-	573		FALSE	8	NP	F	0	-	989		TRUE	11	HC	AAA	2598	19	1400	3.63720000E+001									
awakening	Bits	Bits	5000	7000	9500	24.345	23.49									FALSE	5	NP	F	0	-	553		FALSE	7	NP	F	0	-	750		TRUE	10	FC	AAA	1623	0	866	2.43450000E+001									FALSE	5	NP	F	0	-	546		FALSE	7	FC	AAA	1340	6	746		TRUE	9	EX	AAA	1620	7	873	2.34900000E+001									
Sphere	Bits	Bits	5000	8500	11000	30.645	28.42									FALSE	5	NP	F	0	-	541		FALSE	9	NP	F	0	-	996		TRUE	10	FC	AAA	2043	1	1111	3.06450000E+001									FALSE	5	NP	F	0	-	522		FALSE	8	NP	F	0	-	897		TRUE	12	HC	AAA	2030	27	1139	2.84200000E+001									
ＵＬＴｉＭΛＴＥ	Bits	Bits	4500	7000	4500	29.19	20.4885									FALSE	5	NP	F	0	-	480		FALSE	7	NP	F	0	-	744		TRUE	9	FC	AAA	1946	0	1006	2.91900000E+001									FALSE	4	NP	F	0	-	451		FALSE	7	EX	AAA	1413	2	736	2.04885000E+001																	
spiral galaxy	Bits	Bits	5000	9000	10500	49.764	30.0295									FALSE	5	NP	F	0	-	545		FALSE	9	NP	F	0	-	1061		TRUE	11	FC	AAA	2476	0	1310		TRUE	12	EX	AAA	3432	7	1910	4.97640000E+001	FALSE	5	NP	F	0	-	564		FALSE	9	NP	F	0	-	1038		TRUE	10	EX	AAA	2071	11	1139	3.00295000E+001	TRUE	12	F	B	2752	114	2070		
ANDROMEDA	Base	Base	0	0	0	41.07	37.016									FALSE	5	FC	AAA	1006	0	517		FALSE	8	NP	F	0	-	973		TRUE	11	FC	AAA	2738	0	1446	4.10700000E+001									FALSE	4	NP	F	0	-	512		FALSE	9	NP	F	0	-	1109		TRUE	11	EX	AA	2644	14	1568	3.70160000E+001									
RESONATE 1794	Bits	Bits	4500	10500	5500	26.04	17.7525									FALSE	5	NP	F	0	-	469		FALSE	10	NP	F	0	-	745		TRUE	11	FC	AAA	1736	4	951	2.60400000E+001									FALSE	4	NP	F	0	-	469		FALSE	11	HC	AA	1315	18	744	1.77525000E+001																	
earth scape	Base	Base	0	0	0	18.6	13.601									FALSE	2	NP	F	0	-	230		FALSE	5	FC	AAA	1009	0	530		TRUE	7	FC	AAA	1240	0	644	1.86000000E+001									FALSE	2	NP	F	0	-	230		FALSE	6	EX	AAA	938	1	507	1.36010000E+001																	
Close my Eyes for Me	Bits	Bits	5000	8000	10000	24.4035	23.9625									FALSE	5	NP	F	0	-	529		FALSE	8	NP	F	0	-	755		TRUE	9	FC	AA	1683	2	948	2.44035000E+001									FALSE	5	NP	F	0	-	521		FALSE	8	NP	F	0	-	751		TRUE	11	HC	AA	1775	31	1058	2.39625000E+001									
ピアノ協奏曲第1番"蠍火"	Bits	Bits	5000	10500	12000	30.942	26.51									FALSE	5	NP	F	0	-	422		FALSE	11	NP	F	0	-	1111		TRUE	12	HC	AA	2292	37	1414	3.09420000E+001									FALSE	5	NP	F	0	-	473		FALSE	10	NP	F	0	-	1031		TRUE	12	F	A	2410	135	1730	2.65100000E+001									
INJECTION OF LOVE	Bits	Bits	3500	6500	4500	21.84	16.02									FALSE	4	NP	F	0	-	343		FALSE	6	NP	F	0	-	532		TRUE	9	FC	AAA	1456	0	769	2.18400000E+001									FALSE	3	NP	F	0	-	359		FALSE	7	FC	AAA	1068	0	553	1.60200000E+001																	
The Hope of Tomorrow	Bits	Bits	5500	8500	10000	27.615	23.212									FALSE	5	NP	F	0	-	536		FALSE	8	NP	F	0	-	874		TRUE	10	FC	AAA	1841	4	992	2.76150000E+001									FALSE	6	NP	F	0	-	535		FALSE	9	NP	F	0	-	855		TRUE	10	EX	AA	1658	4	989	2.32120000E+001									
RED ZONE	Base	Base	0	0	0	40.8175	32.211									FALSE	5	NP	F	0	-	567		FALSE	9	NP	F	0	-	975		TRUE	11	FC	AAA	2219	4	1184		TRUE	12	EX	AAA	2815	16	1566	4.08175000E+001	FALSE	5	NP	F	0	-	611		FALSE	9	NP	F	0	-	941		TRUE	11	HC	AA	2091	29	1232		TRUE	12	HC	AA	2386	41	1502	3.22110000E+001	
Be quiet	Bits	Bits	5500	8500	11000	28.9565	28.2									FALSE	5	NP	F	0	-	559		FALSE	9	NP	F	0	-	894		TRUE	11	EX	AAA	1997	5	1114	2.89565000E+001	TRUE	12	HC	A	2179	31	1463		FALSE	6	EX	AAA	1022	5	558		FALSE	8	NP	F	0	-	861		TRUE	11	FC	AAA	1880	6	1055	2.82000000E+001	TRUE	12	F	A	2326	134	1614		
AGEHA	Bits	Bits	5000	7500	8500	27.075	31.8735									FALSE	5	NP	F	0	-	537		FALSE	8	NP	F	0	-	888		TRUE	9	FC	AAA	1805	0	948	2.70750000E+001	TRUE	11	NP	F	0	-	1232		FALSE	5	NP	F	0	-	464		FALSE	7	NP	F	0	-	689		TRUE	8	EX	AAA	1646	9	903		TRUE	11	HC	AA	2361	34	1460	3.18735000E+001	
gigadelic	Bits	Bits	9500	12000	12000	33.7995	28.2555									FALSE	9	NP	F	0	-	771		FALSE	12	EX	AA	1981	3	1116		TRUE	12	EX	AAA	2331	3	1301	3.37995000E+001									FALSE	10	NP	F	0	-	754		FALSE	12	HC	AA	1829	35	1110		TRUE	12	HC	AA	2093	35	1344	2.82555000E+001									
HORIZON	Bits	Bits	5000	7000	8500	28.77	28.4345									FALSE	5	NP	F	0	-	546		FALSE	7	NP	F	0	-	786		TRUE	8	FC	AAA	1918	0	990	2.87700000E+001									FALSE	5	NP	F	0	-	547		FALSE	7	NP	F	0	-	818		TRUE	9	EX	AAA	1961	5	1027	2.84345000E+001									
AA	Base	Base	0	0	0	47.8065	34.892									FALSE	5	NP	F	0	-	642		FALSE	10	FC	AAA	2589	0	1386		TRUE	12	EX	AAA	3297	4	1834	4.78065000E+001									FALSE	5	FC	AAA	1254	2	659		FALSE	9	EX	AAA	1796	5	997		TRUE	12	HC	A	2684	61	1739	3.48920000E+001									
D.A.N.C.E.!	Bits	Bits	3000	5000	9000	22.815	18.24									FALSE	3	NP	F	0	-	299		FALSE	5	NP	F	0	-	431		TRUE	10	FC	AAA	1521	1	826	2.28150000E+001									FALSE	3	NP	F	0	-	298		FALSE	5	NP	F	0	-	425		TRUE	8	FC	AAA	1216	0	653	1.82400000E+001									
NEBULA GRASPER	Bits	Bits	6500	9000	10500	34.8	29.064									FALSE	6	NP	F	0	-	691		FALSE	9	NP	F	0	-	1029		TRUE	10	FC	AAA	2320	0	1241	3.48000000E+001									FALSE	7	EX	AAA	1387	1	724		FALSE	9	NP	F	0	-	1029		TRUE	11	HC	AAA	2076	40	1155	2.90640000E+001									
Raspberry♡Heart (English version)	Bits	Bits	5500	8000	9500	26.745	24.2585									FALSE	5	NP	F	0	-	531		FALSE	8	NP	F	0	-	797		TRUE	9	FC	AAA	1783	2	932	2.67450000E+001									FALSE	6	NP	F	0	-	524		FALSE	8	HC	AAA	1457	3	772		TRUE	10	EX	AAA	1673	7	901	2.42585000E+001									
GENOCIDE	Bits	Bits	6000	11000	11500	31.7695	21.472									FALSE	6	NP	F	0	-	587		FALSE	10	EX	AAA	1972	5	1103		TRUE	11	EX	AAA	2191	9	1222	3.17695000E+001									FALSE	6	EX	AAA	1088	4	588		FALSE	12	NC	A	1733	72	1211		TRUE	12	F	A	1952	118	1456	2.14720000E+001									
double thrash	Bits	Bits	5500	10000	5000	33.3	25.984									FALSE	6	NP	F	0	-	527		FALSE	10	NP	F	0	-	1066		TRUE	10	FC	AAA	2220	1	1206	3.33000000E+001									FALSE	5	NP	F	0	-	527		FALSE	10	EX	AA	1856	12	1048	2.59840000E+001																	
キャッシュレスは愛情消すティッシュ	Bits	Bits	4000	8000	10000	28.8985	29.0145									FALSE	4	NP	F	0	-	409		FALSE	8	NP	F	0	-	689		TRUE	10	EX	AAA	1993	3	1079	2.88985000E+001									FALSE	4	NP	F	0	-	409		FALSE	8	NP	F	0	-	689		TRUE	10	EX	AAA	2001	2	1075	2.90145000E+001									
Little Little Princess	Base	Base	0	0	0	37.584	37.017									FALSE	5	NP	F	0	-	558		FALSE	10	NP	F	0	-	1118		TRUE	11	EX	AAA	2592	5	1420	3.75840000E+001	TRUE	12	NP	F	0	-	1946		FALSE	5	NP	F	0	-	560		FALSE	10	NP	F	0	-	1171		TRUE	11	HC	AA	2742	27	1610	3.70170000E+001	TRUE	12	EC	A	3136	126	2035		
ヒマワリ	Bits	Bits	3500	8500	9500	29.1885	26.158									FALSE	3	NP	F	0	-	285		FALSE	9	NP	F	0	-	947		TRUE	10	EX	AAA	2013	2	1042	2.91885000E+001									FALSE	4	NP	F	0	-	396		FALSE	8	NP	F	0	-	856		TRUE	9	EX	AAA	1804	5	943	2.61580000E+001									
冥	Bits	Bits	5000	10500	12000	34.932	24.8115									FALSE	5	NP	F	0	-	555		FALSE	10	NP	F	0	-	1111		TRUE	12	NC	A	2911	68	2000	3.49320000E+001									FALSE	5	NP	F	0	-	555		FALSE	11	HC	AA	1736	29	1104		TRUE	12	EC	B	2363	220	2000	2.48115000E+001									
MOON RACE	Bits	Bits	5000	8500	4500	26.91	14.868									FALSE	5	NP	F	0	-	434		FALSE	7	NP	F	0	-	598		TRUE	9	FC	AAA	1794	0	957	2.69100000E+001									FALSE	5	NP	F	0	-	433		FALSE	10	EX	AA	1062	3	598	1.48680000E+001																	
LESSON 5	Bits	Bits	5000	7500	10000	35.7	34.7085									FALSE	5	NP	F	0	-	654		FALSE	8	NP	F	0	-	949		TRUE	9	FC	AAA	2380	2	1261	3.57000000E+001									FALSE	5	NP	F	0	-	542		FALSE	7	NP	F	0	-	939		TRUE	11	HC	AA	2571	24	1471	3.47085000E+001									
rage against usual	Bits	Bits	6500	10000	11500	33.723	27.567									FALSE	7	NP	F	0	-	697		FALSE	10	NP	F	0	-	1060		TRUE	12	HC	AA	2498	21	1527	3.37230000E+001									FALSE	6	NP	F	0	-	697		FALSE	10	EX	AA	1901	7	1081		TRUE	11	HC	AA	2042	32	1215	2.75670000E+001									
INAZUMA	Base	Base	0	0	0	38.145	27.36									FALSE	5	NP	F	0	-	561		FALSE	9	NP	F	0	-	930		TRUE	11	FC	AAA	2543	0	1368	3.81450000E+001									FALSE	6	NP	F	0	-	584		FALSE	9	NP	F	0	-	917		TRUE	12	NC	A	2280	58	1554	2.73600000E+001									
HAPPY☆ANGEL	Base	Base	0	0	0	30.24	28.7245									FALSE	5	NP	F	0	-	555		FALSE	7	FC	AAA	1524	1	782		TRUE	10	FC	AAA	2016	1	1052	3.02400000E+001									FALSE	6	NP	F	0	-	555		FALSE	7	NP	F	0	-	776		TRUE	10	EX	AAA	1981	7	1073	2.87245000E+001									
EDEN	Bits	Bits	6500	8500	10000	45.5735	42.56									FALSE	6	NP	F	0	-	660		FALSE	9	NP	F	0	-	969		TRUE	10	FC	AAA	2639	0	1363		TRUE	11	EX	AAA	3143	16	1637	4.55735000E+001	FALSE	7	NP	F	0	-	640		FALSE	8	NC	AAA	1407	6	733		TRUE	10	EX	AAA	2584	11	1377		TRUE	11	HC	AAA	3040	30	1647	4.25600000E+001	
CaptivAte～浄化～	Base	Base	0	0	0	34.77	30.814									FALSE	5	NP	F	0	-	541		FALSE	9	NP	F	0	-	946		TRUE	11	FC	AAA	2318	0	1243	3.47700000E+001									FALSE	5	NP	F	0	-	540		FALSE	9	NP	F	0	-	936		TRUE	11	HC	AAA	2201	23	1235	3.08140000E+001									
Catch Me	Bits	Bits	4500	8500	10000	24.157	21.924									FALSE	5	NP	F	0	-	405		FALSE	8	NP	F	0	-	678		TRUE	10	EX	AAA	1666	3	925	2.41570000E+001									FALSE	4	NP	F	0	-	403		FALSE	9	NP	F	0	-	685		TRUE	10	HC	AA	1624	24	922	2.19240000E+001									
月光	Bits	Bits	4500	8500	10000	34.95	32.775									FALSE	5	NP	F	0	-	455		FALSE	8	NP	F	0	-	900		TRUE	10	FC	AAA	2330	1	1246	3.49500000E+001									FALSE	4	NP	F	0	-	440		FALSE	9	NP	F	0	-	922		TRUE	10	FC	AAA	2185	1	1175	3.27750000E+001									
Under the Sky	Bits	Bits	4500	7000	9000	25.305	24									FALSE	5	NP	F	0	-	458		FALSE	7	NP	F	0	-	710		TRUE	9	FC	AAA	1687	0	875	2.53050000E+001									FALSE	4	NP	F	0	-	390		FALSE	7	NP	F	0	-	670		TRUE	9	FC	AAA	1600	1	830	2.40000000E+001									
Xepher	Bits	Bits	5000	10000	11000	39.9765	32.4135									FALSE	5	NP	F	0	-	571		FALSE	10	NP	F	0	-	1135		TRUE	11	EX	AAA	2757	4	1520	3.99765000E+001									FALSE	5	NP	F	0	-	559		FALSE	10	NP	F	0	-	1089		TRUE	11	HC	AA	2401	57	1498	3.24135000E+001									
Twelfth Style	Bits	Bits	6000	8000	9500	28.043	28.594									FALSE	6	NP	F	0	-	630		FALSE	7	NP	F	0	-	778		TRUE	10	EX	AAA	1934	6	1033	2.80430000E+001	TRUE	12	F	C	1705	-	1684		FALSE	6	NP	F	0	-	707		FALSE	9	NP	F	0	-	976		TRUE	9	EX	AAA	1972	11	1070	2.85940000E+001	TRUE	12	EC	A	2460	103	1748		
I am	Bits	Bits	5000	8000	5000	29.986	24.447									FALSE	5	NP	F	0	-	555		FALSE	8	NP	F	0	-	883		TRUE	10	EX	AAA	2068	1	1096	2.99860000E+001									FALSE	5	NP	F	0	-	611		FALSE	8	EX	AAA	1686	2	883	2.44470000E+001																	
合体せよ！ストロングイェーガー！！ (Ryu☆ remix)	Bits	Bits	5000	8500	11000	25.9115	24.8675									FALSE	5	NP	F	0	-	564		FALSE	8	NP	F	0	-	807		TRUE	11	EX	AAA	1787	4	972	2.59115000E+001									FALSE	5	NP	F	0	-	556		FALSE	9	NP	F	0	-	784		TRUE	11	EX	AAA	1715	9	935	2.48675000E+001									
garden	Bits	Bits	4000	7000	11000	30.09	31.1445									FALSE	4	NP	F	0	-	440		FALSE	7	NP	F	0	-	773		TRUE	10	FC	AAA	2006	1	1100	3.00900000E+001									FALSE	4	NP	F	0	-	461		FALSE	7	NP	F	0	-	774		TRUE	12	HC	AA	2307	49	1396	3.11445000E+001									
Agnus Dei	Bits	Bits	5000	8500	10500	29.835	27.8255									FALSE	5	NP	F	0	-	466		FALSE	9	NP	F	0	-	850		TRUE	10	FC	AAA	1989	0	1051	2.98350000E+001									FALSE	5	NP	F	0	-	465		FALSE	8	NP	F	0	-	791		TRUE	11	EX	AAA	1919	16	1051	2.78255000E+001									
Tizona d'El Cid	Bits	Bits	5000	9500	5000	32.355	26.071									FALSE	5	NP	F	0	-	495		FALSE	9	NP	F	0	-	1000		TRUE	10	FC	AAA	2157	0	1178	3.23550000E+001									FALSE	5	NP	F	0	-	491		FALSE	10	EX	AAA	1798	10	1000	2.60710000E+001																	
EMPTY OF THE SKY	Bits	Bits	3000	5000	8000	24.585	24.48									FALSE	3	NP	F	0	-	334		FALSE	5	NP	F	0	-	526		TRUE	8	FC	AAA	1639	0	843	2.45850000E+001									FALSE	3	NP	F	0	-	334		FALSE	5	NP	F	0	-	526		TRUE	8	FC	AAA	1632	0	842	2.44800000E+001									
tant pis pour toi	Bits	Bits	4500	8500	5000	23.142	17.719									FALSE	5	NP	F	0	-	385		FALSE	8	NP	F	0	-	676		TRUE	10	EX	AAA	1596	1	862	2.31420000E+001									FALSE	4	NP	F	0	-	385		FALSE	9	EX	AAA	1222	5	676	1.77190000E+001																	
100% minimoo-G	Bits	Bits	4500	10000	11000	24.285	30.9015									FALSE	5	NP	F	0	-	474		FALSE	10	FC	AAA	1619	0	871	2.42850000E+001	TRUE	11	EX	AA	1518	5	903										FALSE	4	NP	F	0	-	474		FALSE	10	NP	F	0	-	871		TRUE	11	HC	AA	2289	44	1414	3.09015000E+001									
PLASMA	Bits	Bits	4500	8000	4500	32.88	23.2725									FALSE	4	NP	F	0	-	479		FALSE	8	NP	F	0	-	848		TRUE	9	FC	AAA	2192	0	1145	3.28800000E+001									FALSE	5	NP	F	0	-	479		FALSE	8	EX	AAA	1605	6	848	2.32725000E+001																	
in motion	Bits	Bits	5000	6000	7500	19.05	18.183									FALSE	5	NP	F	0	-	432		FALSE	6	NP	F	0	-	545		TRUE	7	FC	AAA	1270	0	661	1.90500000E+001									FALSE	5	NP	F	0	-	432		FALSE	6	NP	F	0	-	545		TRUE	8	EX	AAA	1254	3	661	1.81830000E+001									
SigSig	Base	Base	0	0	0	36.5255	34.133									FALSE	5	FC	AAA	1036	0	548		FALSE	7	FC	AAA	1670	0	864		TRUE	10	EX	AAA	2519	5	1309	3.65255000E+001									FALSE	5	FC	AAA	1010	2	552		FALSE	7	EX	AAA	1639	4	884		TRUE	11	EX	AAA	2354	8	1259	3.41330000E+001									
ラクエン	Bits	Bits	4000	7500	11000	24.64	23.868									FALSE	4	NP	F	0	-	369		FALSE	6	NP	F	0	-	498		TRUE	11	EX	AA	1760	6	1034	2.46400000E+001									FALSE	4	NP	F	0	-	368		FALSE	9	NP	F	0	-	723		TRUE	11	HC	AA	1768	16	1033	2.38680000E+001									
Get'em up to R.A.V.E	Bits	Bits	5000	8000	5000	30.7255	23.316									FALSE	5	NP	F	0	-	599		FALSE	8	NP	F	0	-	892		TRUE	10	EX	AAA	2119	2	1158	3.07255000E+001									FALSE	5	NP	F	0	-	595		FALSE	8	EX	AAA	1608	12	890	2.33160000E+001																	
alla turca con passione	Bits	Bits	4500	8000	10000	30.96	29.0435									FALSE	5	NP	F	0	-	409		FALSE	8	NP	F	0	-	829		TRUE	10	FC	AAA	2064	0	1103	3.09600000E+001									FALSE	4	NP	F	0	-	396		FALSE	8	NP	F	0	-	831		TRUE	10	EX	AAA	2003	14	1057	2.90435000E+001									
GREEN EYES	Bits	Bits	6000	8500	10500	31.395	29.1595									FALSE	6	NP	F	0	-	507		FALSE	8	NP	F	0	-	827		TRUE	10	FC	AAA	2093	3	1123	3.13950000E+001									FALSE	6	NP	F	0	-	494		FALSE	9	NP	F	0	-	828		TRUE	11	EX	AAA	2011	9	1123	2.91595000E+001									
SCREAM SQUAD	Bits	Bits	6500	10000	12000	25.578	20.304									FALSE	7	NP	F	0	-	609		FALSE	10	NP	F	0	-	869		TRUE	12	EX	AA	1827	9	1073	2.55780000E+001									FALSE	6	NP	F	0	-	579		FALSE	10	NP	F	0	-	863		TRUE	12	EC	AA	1692	59	1072	2.03040000E+001									
PATRIOTISM	Bits	Bits	3500	7000	4500	26.19	18.4295									FALSE	4	NP	F	0	-	390		FALSE	7	NP	F	0	-	679		TRUE	9	FC	AAA	1746	0	929	2.61900000E+001									FALSE	3	NP	F	0	-	386		FALSE	7	EX	AAA	1271	3	679	1.84295000E+001																	
Aurora	Bits	Bits	7000	10000	11000	35.715	28.593									FALSE	7	NP	F	0	-	714		FALSE	10	NP	F	0	-	1100		TRUE	11	FC	AAA	2381	0	1280	3.57150000E+001									FALSE	7	NP	F	0	-	675		FALSE	10	NP	F	0	-	1043		TRUE	11	HC	AA	2118	24	1218	2.85930000E+001									
Votum stellarum	Bits	Bits	4000	10000	5000	27.666	22.5045									FALSE	4	NP	F	0	-	413		FALSE	9	NP	F	0	-	857		TRUE	10	EX	AAA	1908	2	1017	2.76660000E+001									FALSE	4	NP	F	0	-	413		FALSE	11	HC	AA	1667	16	965	2.25045000E+001																	
Scripted Connection⇒ N mix	Bits	Bits	6000	8500	10000	30.03	29.092									FALSE	6	NP	F	0	-	674		FALSE	8	NP	F	0	-	858		TRUE	10	FC	AAA	2002	1	1073	3.00300000E+001									FALSE	6	NP	F	0	-	661		FALSE	9	NP	F	0	-	909		TRUE	10	EX	AA	2078	12	1179	2.90920000E+001									
Scripted Connection⇒ H mix	Bits	Bits	7500	10000	11000	34.0605	30.753									FALSE	7	NP	F	0	-	875		FALSE	10	NP	F	0	-	1059		TRUE	11	EX	AAA	2349	7	1275	3.40605000E+001									FALSE	8	NP	F	0	-	879		FALSE	10	NP	F	0	-	1005		TRUE	11	HC	AA	2278	20	1366	3.07530000E+001									
Scripted Connection⇒ A mix	Bits	Bits	7500	10000	11500	39.018	29.835									FALSE	7	NP	F	0	-	865		FALSE	10	NP	F	0	-	1155		TRUE	12	EX	AA	2787	10	1575	3.90180000E+001	TRUE	12	F	AA	2869	-	1749		FALSE	8	NP	F	0	-	1079		FALSE	10	NP	F	0	-	1269		TRUE	11	HC	AA	2210	24	1382	2.98350000E+001	TRUE	12	EC	A	2525	75	1816		
華蝶風雪	Bits	Bits	6500	10000	11500	40.3245	37.072									FALSE	6	NP	F	0	-	638		FALSE	10	AC	AAA	2061	1	1064		TRUE	11	EX	AAA	2781	5	1500	4.03245000E+001	TRUE	12	NP	F	0	-	2014		FALSE	7	NP	F	0	-	626		FALSE	10	NP	F	0	-	1041		TRUE	12	HC	AAA	2648	35	1481	3.70720000E+001	TRUE	12	NP	F	0	-	2135		
タシカナモノ	Base	Base	0	0	0	29.655	31.987									FALSE	5	NP	F	0	-	472		FALSE	7	NP	F	0	-	726		TRUE	9	FC	AAA	1977	0	1026	2.96550000E+001									FALSE	5	NP	F	0	-	470		FALSE	7	NP	F	0	-	797		TRUE	10	EX	AAA	2206	11	1191	3.19870000E+001									
The Dirty of Loudness	Bits	Bits	7000	10000	10500	34.887	31.697									FALSE	7	EX	AAA	1357	5	740		FALSE	10	NP	F	0	-	1154		TRUE	11	EX	AAA	2406	3	1327	3.48870000E+001									FALSE	7	NP	F	0	-	723		FALSE	10	EX	AAA	2038	6	1122		TRUE	10	EX	AAA	2186	6	1189	3.16970000E+001									
D.C.fish	Bits	Bits	5000	8500	11000	33.18	28.8765									FALSE	5	NP	F	0	-	513		FALSE	9	NP	F	0	-	998		TRUE	11	FC	AAA	2212	3	1178	3.31800000E+001									FALSE	5	NP	F	0	-	505		FALSE	8	NP	F	0	-	888		TRUE	11	HC	AA	2139	27	1228	2.88765000E+001									
嘆きの樹	Bits	Bits	7500	11000	12000	45.8055	33.451									FALSE	8	NP	F	0	-	902		FALSE	11	FC	AAA	2361	2	1281		TRUE	12	HC	AA	3393	25	2000	4.58055000E+001									FALSE	7	NP	F	0	-	875		FALSE	11	HC	AA	2165	42	1281		TRUE	12	F	A	3041	113	2000	3.34510000E+001									
Melody Life	Bits	Bits	4000	6000	4500	26.91	18.45									FALSE	4	NP	F	0	-	397		FALSE	6	NP	F	0	-	673		TRUE	9	FC	AAA	1794	0	933	2.69100000E+001									FALSE	4	NP	F	0	-	399		FALSE	6	FC	AAA	1230	0	643	1.84500000E+001																	
wish	Bits	Bits	4000	6000	7500	21.3	21.0685									FALSE	4	NP	F	0	-	401		FALSE	6	NP	F	0	-	600		TRUE	7	FC	AAA	1420	0	758	2.13000000E+001									FALSE	4	NP	F	0	-	400		FALSE	6	NP	F	0	-	601		TRUE	8	EX	AAA	1453	3	784	2.10685000E+001									
