title	Type	Label	Cost Normal	Cost Hyper	Cost Another	SP DJ Points	DP DJ Points	SPB Unlocked	SPB Rating	SPB Lamp	SPB Letter	SPB EX Score	SPB Miss Count	SPB Note Count	SPB DJ Points	SPN Unlocked	SPN Rating	SPN Lamp	SPN Letter	SPN EX Score	SPN Miss Count	SPN Note Count	SPN DJ Points	SPH Unlocked	SPH Rating	SPH Lamp	SPH Letter	SPH EX Score	SPH Miss Count	SPH Note Count	SPH DJ Points	SPA Unlocked	SPA Rating	SPA Lamp	SPA Letter	SPA EX Score	SPA Miss Count	SPA Note Count	SPA DJ Points	SPL Unlocked	SPL Rating	SPL Lamp	SPL Letter	SPL EX Score	SPL Miss Count	SPL Note Count	SPL DJ Points	DPN Unlocked	DPN Rating	DPN Lamp	DPN Letter	DPN EX Score	DPN Miss Count	DPN Note Count	DPN DJ Points	DPH Unlocked	DPH Rating	DPH Lamp	DPH Letter	DPH EX Score	DPH Miss Count	DPH Note Count	DPH DJ Points	DPA Unlocked	DPA Rating	DPA Lamp	DPA Letter	DPA EX Score	DPA Miss Count	DPA Note Count	DPA DJ Points	DPL Unlocked	DPL Rating	DPL Lamp	DPL Letter	DPL EX Score	DPL Miss Count	DPL Note Count	DPL DJ Points
PUT YOUR FAITH IN ME(for beatmania II)	Base	Base	0	0		12.18	11.397									FALSE	3	NP	F	0	-	291		FALSE	6	FC	AAA	812	1	434	1.21800000E+001																	FALSE	4	NP	F	0	-	288		FALSE	7	EX	AAA	786	4	434	1.13970000E+001																	
CAN'T STOP FALLIN'IN LOVE	Bits	Bits	4000	7500		18	16.6025									FALSE	4	NP	F	0	-	310		FALSE	8	FC	AAA	1200	1	632	1.80000000E+001																	FALSE	4	NP	F	0	-	313		FALSE	7	EX	AAA	1145	3	620	1.66025000E+001																	
Don't Stop!	Bits	Bits	4000	4000	2000	13.29	12.855									FALSE	4	NP	F	0	-	389		FALSE	4	NP	F	0	-	428		TRUE	4	FC	AAA	886	0	453	1.32900000E+001									FALSE	4	NP	F	0	-	391		FALSE	4	FC	AAA	857	1	450	1.28550000E+001																	
era (nostalmix)	Base	Base	0	0	0	21.795	24.136									FALSE	5	NP	F	0	-	437		FALSE	8	NP	F	0	-	555		TRUE	9	FC	AAA	1453	0	786	2.17950000E+001									FALSE	5	NP	F	0	-	437		FALSE	12	HC	AAA	1724	30	952	2.41360000E+001	TRUE	12	NC	A	1855	84	1226										
Holic	Bits	Bits	6000	8500	11500	24.06	20.988									FALSE	5	NP	F	0	-	395		FALSE	7	NP	F	0	-	624		TRUE	11	FC	AAA	1604	1	880	2.40600000E+001									FALSE	7	FC	AAA	1302	2	680		FALSE	10	NP	F	0	-	875		TRUE	12	NC	A	1749	69	1136	2.09880000E+001									
LEADING CYBER	Bits	Bits	4000	6000	6500	18.84	17.4435									FALSE	4	NP	F	0	-	434		FALSE	6	NP	F	0	-	611		TRUE	7	FC	AAA	1256	2	645	1.88400000E+001									FALSE	4	NP	F	0	-	478		FALSE	6	NP	F	0	-	611		TRUE	6	EX	AAA	1203	3	645	1.74435000E+001									
R5	Base	Base	0	0	0	25.605	22.708									FALSE	5	NP	F	0	-	387		FALSE	8	NP	F	0	-	588		TRUE	11	FC	AAA	1707	0	889	2.56050000E+001									FALSE	5	NP	F	0	-	430		FALSE	8	NP	AAA	1084	3	599		TRUE	11	HC	AAA	1622	23	870	2.27080000E+001									
REINCARNATION	Bits	Bits	4000	5000	7000	18.06	17.2695									FALSE	4	NP	F	0	-	424		FALSE	5	NP	F	0	-	525		TRUE	7	FC	AAA	1204	1	643	1.80600000E+001									FALSE	4	NP	F	0	-	398		FALSE	5	EX	AAA	965	2	525		TRUE	7	EX	AAA	1191	6	643	1.72695000E+001									
Schlagwerk	Bits	Bits	4000	8500	9500	23.73	24.3675									FALSE	4	NP	F	0	-	414		FALSE	6	NP	F	0	-	663		TRUE	8	FC	AAA	1582	3	848	2.37300000E+001									FALSE	4	NP	F	0	-	412		FALSE	11	HC	AA	1709	15	1043		TRUE	11	HC	AA	1805	34	1090	2.43675000E+001									
Skyscraper	Bits	Bits	4000	6500	3500	18.225	16.501									FALSE	4	NP	F	0	-	372		FALSE	6	NP	F	0	-	610		TRUE	7	FC	AAA	1215	0	629	1.82250000E+001									FALSE	4	NP	F	0	-	413		FALSE	7	EX	AAA	1138	7	628	1.65010000E+001																	
Tangerine Stream	Base	Base	0	0		5.76	5.805									FALSE	2	FC	AAA	270	0	141		FALSE	3	FC	AAA	384	1	198	5.76000000E+000																	FALSE	2	NP	F	0	-	151		FALSE	3	FC	AAA	387	0	199	5.80500000E+000																	
THE SAFARI	Bits	Bits	7500	10000		25.275	20.277									FALSE	7	NP	F	0	-	618		FALSE	10	FC	AAA	1685	1	900	2.52750000E+001																	FALSE	8	NP	F	0	-	624		FALSE	10	HC	AA	1502	14	900	2.02770000E+001																	
never let you down	Bits	Bits	4000	5500	2500	16.605	15.9645									FALSE	4	NP	F	0	-	408		FALSE	5	NP	F	0	-	575		TRUE	5	FC	AAA	1107	1	581	1.66050000E+001									FALSE	4	NP	F	0	-	465		FALSE	6	EX	AAA	1101	2	577	1.59645000E+001																	
250bpm	Bits	Bits	4500	7500	9500	19.77	16.604									FALSE	5	NP	F	0	-	353		FALSE	8	NP	F	0	-	528		TRUE	10	FC	AAA	1318	3	726	1.97700000E+001									FALSE	4	NP	F	0	-	351		FALSE	7	NP	F	0	-	523		TRUE	9	EX	AA	1186	9	672	1.66040000E+001									
ABSOLUTE	Bits	Bits	6000	8000	10500	37.3085	33.558									FALSE	6	NP	F	0	-	682		FALSE	8	NP	F	0	-	935		TRUE	10	FC	AAA	2264	0	1218		TRUE	11	EX	AAA	2573	8	1412	3.73085000E+001	FALSE	6	NP	F	0	-	728		FALSE	8	NP	F	0	-	934		TRUE	11	EX	AA	2233	14	1338		TRUE	11	EX	AA	2397	22	1488	3.35580000E+001	
Broken My Heart	Bits	Bits	4500	7000	9500	26.205	22.904									FALSE	5	NP	F	0	-	474		FALSE	7	NP	F	0	-	751		TRUE	9	FC	AAA	1747	1	914	2.62050000E+001									FALSE	4	NP	F	0	-	405		FALSE	7	NP	F	0	-	742		TRUE	10	HC	AAA	1636	24	914	2.29040000E+001									
CHECKING YOU OUT	Base	Base	0	0	0	16.954	15.498									FALSE	7	NP	F	0	-	339		FALSE	9	NP	F	0	-	481		TRUE	11	EX	AA	1211	7	700	1.69540000E+001									FALSE	7	EX	AAA	613	1	339		FALSE	11	HC	AA	776	14	482		TRUE	11	HC	AA	1148	29	703	1.54980000E+001									
